Unnamed: 0,HOUSEID_x,PERSONID_x,R_AGE,R_HISP,R_SEX,R_RACE,WRKFHM,HHSIZE,HHVEHCNT,HHFAMINC,URBANSIZE,URBRUR,uni_Per_ID,YOUNGCHILD,Highschool,EDU_College,HM_OWN,NONHISWHITE,Race_Black,Race_Asian,Race_White,weekday,DRVRCNT,Total_TT,Total_AT,AT_ReguHMact,TT_ReguHMact,ReguHMact,AT_WorkFromHM,TT_WorkFromHM,WorkFromHM,AT_WorkNonHM,TT_WorkNonHM,WorkNonHM,AT_School,TT_School,School,AT_Shopping,TT_Shopping,Shopping,AT_Social1,TT_Social1,Social1,AT_Social2,TT_Social2,Social2,AT_Social3,TT_Social3,Social3,AT_Social4,TT_Social4,Social4,AT_Personal_self,TT_Personal_self,Personal_self,AT_Personal_meal,TT_Personal_meal,Personal_meal,AT_Family_business,TT_Family_business,Family_business,AT_Pick_Drop,TT_Pick_Drop,Pick_Drop,HW_TIME,ln_School,ln_Shopping,ln_Social1,ln_Social2,ln_Social3,ln_Social4,ln_Personal_self,ln_Personal_meal,ln_Family_business,ln_Pick_Drop,genZ,Millennials,genX,boomers2,prepan
2723,9000116854,2,53.0,0.0,1.0,1.0,1,4,3,137.5,0,0,9000116854_2,0,1,1,1,1,0,0.0,1.0,1,2,105,420,195,75,270,0,0,0,0,0,0,0,0,0,60,15,75,0,0,0,0,0,0,0,0,0,165,15,180,0,0,0,0,0,0,0,0,0,0,0,0,1185,0.0,0.0266521947714401,0.0,0.0,0.0,0.0614143010306521,0.0,0.0,0.0,0.0,0,0,1,0,0
3960,9000168913,4,40.0,0.0,1.0,2.0,1,6,4,250.0,1,1,9000168913_4,0,0,0,1,0,1,0.0,0.0,0,5,13,10,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,15,0,0,0,0,0,0,1425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045476277507206,0.0,0.0,0,1,0,0,0
4469,9000209254,1,25.0,1.0,1.0,1.0,0,4,2,30.0,0,1,9000209254_1,1,1,0,0,0,0,0.0,1.0,1,2,10,15,0,5,5,0,0,0,0,0,0,0,0,0,15,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420,0.0,0.0060741477121931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
4394,9000175295,1,53.0,0.0,1.0,1.0,0,4,2,112.5,0,1,9000175295_1,0,1,0,1,1,0,0.0,1.0,0,3,9,55,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,5,60,0,0,0,0,0,0,1380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0184834056940131,0.0,0.0,0,0,1,0,0
857,9000052063,1,51.0,0.0,1.0,1.0,1,1,1,250.0,0,1,9000052063_1,0,1,1,1,1,0,0.0,1.0,1,1,52,528,0,10,10,406,14,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,10,120,0,0,0,0,0,0,0,0,0,0,0,0,12,18,30,1290,0.0,0.0,0.0,0.0,0.0386294023561309,0.0,0.0,0.0,0.0,0.0099842209066009,0,0,1,0,0
4370,9000174983,1,67.0,0.0,1.0,1.0,0,2,3,87.5,0,1,9000174983_1,0,1,1,1,1,0,0.0,1.0,1,2,50,570,0,20,20,0,0,0,540,15,555,0,0,0,30,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,0.0,0.0226639846359437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
292,9000017268,2,62.0,0.0,0.0,1.0,0,4,1,62.5,0,1,9000017268_2,0,1,0,1,1,0,0.0,1.0,1,1,70,855,0,25,25,0,0,0,390,30,420,0,0,0,0,0,0,465,15,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,0.0,0.0,0.276206411938949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
1907,9000089210,1,64.0,0.0,0.0,1.0,0,1,1,87.5,0,0,9000089210_1,0,0,0,1,1,0,0.0,1.0,1,1,65,735,0,35,35,0,0,0,735,30,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
561,9000047778,1,49.0,0.0,1.0,1.0,0,4,2,62.5,0,1,9000047778_1,0,1,1,1,1,0,0.0,1.0,1,2,46,279,0,25,25,0,0,0,279,21,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0
3100,9000128782,1,63.0,0.0,0.0,1.0,1,3,3,175.0,0,0,9000128782_1,0,1,1,1,1,0,0.0,1.0,0,2,10,155,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,5,160,0,0,0,0,0,0,0,0,0,0,0,0,1280,0.0,0.0,0.0,0.0,0.0,0.0511525224473812,0.0,0.0,0.0,0.0,0,0,0,1,0
93,9000014334,2,58.0,0.0,1.0,3.0,1,2,2,112.5,1,1,9000014334_2,0,1,1,1,0,0,1.0,0.0,1,2,84,325,0,49,49,0,0,0,325,35,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
661,9000049176,1,38.0,0.0,0.0,1.0,0,1,1,42.5,0,0,9000049176_1,0,1,1,0,1,0,0.0,1.0,0,1,65,405,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,30,270,0,0,0,0,0,0,165,15,180,0,0,0,0,0,0,990,0.0,0.0,0.0,0.0,0.1047353505200129,0.0,0.0,0.0725506671486117,0.0,0.0,0,1,0,0,0
3454,9000149278,1,38.0,1.0,0.0,1.0,1,4,2,250.0,1,1,9000149278_1,1,1,1,1,0,0,0.0,1.0,1,2,110,330,0,20,20,0,0,0,300,60,360,0,0,0,30,30,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1020,0.0,0.0248235837250321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
1061,9000055545,1,62.0,0.0,1.0,1.0,0,2,3,30.0,0,0,9000055545_1,0,1,0,1,1,0,0.0,1.0,1,2,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
4950,9000217430,2,55.0,0.0,0.0,1.0,1,2,2,250.0,0,1,9000217430_2,0,1,1,1,1,0,0.0,1.0,1,2,20,50,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10,60,0,0,0,1380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0184834056940131,0.0,0,0,1,0,0
2961,9000126941,2,30.0,0.0,0.0,1.0,0,5,2,112.5,0,0,9000126941_2,2,1,1,1,1,0,0.0,1.0,1,2,40,460,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,20,480,960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1760912590556812,0,1,0,0,0
3871,9000167719,1,53.0,0.0,1.0,1.0,1,2,1,250.0,0,1,9000167719_1,0,1,1,1,1,0,0.0,1.0,1,2,35,570,570,25,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430,0.0,0.0,0.0,0.0030264546301878,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0
3010,9000127494,2,67.0,0.0,1.0,1.0,0,2,2,62.5,0,0,9000127494_2,0,1,0,1,1,0,0.0,1.0,1,2,65,530,0,40,40,0,0,0,530,25,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
657,9000049158,2,41.0,1.0,1.0,1.0,1,3,2,250.0,1,1,9000049158_2,0,1,1,1,0,0,0.0,1.0,0,2,150,750,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,750,30,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,0.0,0.0,0.3388185565533809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
3745,9000166068,1,63.0,0.0,0.0,1.0,0,2,2,175.0,0,1,9000166068_1,0,1,1,1,1,0,0.0,1.0,1,2,40,510,0,20,20,0,0,0,510,20,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
4737,9000213585,1,36.0,0.0,0.0,2.0,1,3,1,175.0,0,1,9000213585_1,0,1,1,0,0,1,0.0,0.0,0,2,155,195,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,30,185,0,0,0,0,0,0,0,0,0,40,90,130,0,0,0,1125,0.0,0.0,0.0,0.0,0.0661187732083829,0.0,0.0,0.0,0.0474912033696756,0.0,0,1,0,0,0
4261,9000173370,4,29.0,0.0,0.0,1.0,1,4,5,137.5,1,1,9000173370_4,0,1,0,1,1,0,0.0,1.0,1,4,137,461,0,82,82,0,0,0,461,55,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
2706,9000116675,2,71.0,0.0,1.0,1.0,1,2,2,87.5,0,1,9000116675_2,0,1,1,1,1,0,0.0,1.0,1,2,35,55,0,15,15,0,0,0,20,10,30,0,0,0,35,10,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365,0.0,0.0140864612786051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
