HOUSEID_x,PERSONID_x,R_AGE,R_HISP,R_SEX,R_RACE,WKFMHM22,HHSIZE,HHVEHCNT,HHFAMINC,URBANSIZE,URBRUR,uni_Per_ID,YOUNGCHILD,Highschool,EDU_College,HM_OWN,NONHISWHITE,Race_Black,Race_Asian,Race_White,weekday,DRVRCNT,Total_TT,Total_AT,AT_ReguHMact,TT_ReguHMact,ReguHMact,AT_WorkFromHM,TT_WorkFromHM,WorkFromHM,AT_WorkNonHM,TT_WorkNonHM,WorkNonHM,AT_School,TT_School,School,AT_Shopping,TT_Shopping,Shopping,AT_Social1,TT_Social1,Social1,AT_Social2,TT_Social2,Social2,AT_Social3,TT_Social3,Social3,AT_Social4,TT_Social4,Social4,AT_Personal_self,TT_Personal_self,Personal_self,AT_Personal_meal,TT_Personal_meal,Personal_meal,AT_Family_business,TT_Family_business,Family_business,AT_Pick_Drop,TT_Pick_Drop,Pick_Drop,HW_TIME
9000013183,2,40,0,0.0,1,1,6,2,87.5,0,1,9000013183_2,0,1,0,1,1,0,0,1,1,2,42,718,138,22,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,10,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,10,420,840
9000013237,1,53,0,0.0,1,1,2,2,250.0,0,0,9000013237_1,0,1,1,1,1,0,0,1,0,2,20,20,0,10,10,0,0,0,0,0,0,0,0,0,20,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1410
9000013237,2,54,0,0.0,1,0,2,2,250.0,0,0,9000013237_2,0,1,1,1,1,0,0,1,0,2,60,270,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,30,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
9000013246,1,55,0,1.0,1,1,1,1,250.0,0,1,9000013246_1,0,1,1,1,1,0,0,1,1,1,48,532,10,15,25,0,0,0,430,10,440,0,0,0,0,0,0,0,0,0,60,5,65,0,0,0,0,0,0,0,0,0,0,0,0,32,18,50,0,0,0,885
9000013268,1,40,0,1.0,1,1,4,2,62.5,0,1,9000013268_1,0,1,0,1,1,0,0,1,0,2,28,157,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,13,170,0,0,0,0,0,0,0,0,0,0,0,0,1270
9000013268,2,43,0,0.0,1,0,4,2,62.5,0,1,9000013268_2,0,1,0,1,1,0,0,1,0,2,59,314,164,24,188,0,0,0,0,0,0,0,0,0,20,25,45,0,0,0,0,0,0,121,7,128,0,0,0,0,0,0,9,3,12,0,0,0,0,0,0,1255
9000013284,1,60,0,0.0,1,0,3,3,250.0,0,1,9000013284_1,0,1,1,1,1,0,0,1,1,3,25,620,0,15,15,0,0,0,620,10,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810
9000013284,2,58,0,1.0,1,0,3,3,250.0,0,1,9000013284_2,0,1,1,1,1,0,0,1,1,3,25,470,0,15,15,0,0,0,470,10,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960
9000013284,3,22,0,1.0,1,0,3,3,250.0,0,1,9000013284_3,0,1,0,1,1,0,0,1,1,3,25,485,0,15,15,0,0,0,485,10,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945
9000013287,2,65,0,1.0,1,0,2,2,87.5,0,0,9000013287_2,0,1,1,1,1,0,0,1,1,2,90,435,0,15,15,0,0,0,435,75,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930
9000013293,1,60,0,1.0,1,1,2,2,62.5,0,0,9000013293_1,0,1,0,1,1,0,0,1,0,2,113,195,0,35,35,0,0,0,0,0,0,0,0,0,30,45,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,25,130,60,8,68,0,0,0,1167
9000013360,1,49,0,0.0,1,0,4,4,137.5,1,1,9000013360_1,0,1,0,1,1,0,0,1,1,4,75,555,0,45,45,0,0,0,555,30,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855
9000013360,3,21,0,1.0,1,1,4,4,137.5,1,1,9000013360_3,0,1,0,1,1,0,0,1,1,4,110,375,0,60,60,0,0,0,375,50,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1015
9000013362,1,39,0,0.0,1,1,4,2,137.5,0,1,9000013362_1,1,1,0,1,1,0,0,1,1,2,155,125,45,55,100,0,0,0,0,0,0,0,0,0,65,30,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,70,85,1260
9000013380,1,60,0,1.0,1,0,3,2,250.0,0,1,9000013380_1,0,1,1,1,1,0,0,1,1,2,80,890,0,40,40,0,0,0,890,40,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510
9000013380,2,57,0,1.0,1,0,3,2,250.0,0,1,9000013380_2,0,1,1,1,1,0,0,1,1,2,60,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
9000013398,2,63,0,0.0,1,0,2,2,62.5,0,1,9000013398_2,0,1,0,0,1,0,0,1,1,2,50,550,0,30,30,0,0,0,550,20,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870
9000013411,1,32,0,1.0,3,1,1,1,87.5,1,1,9000013411_1,0,1,1,0,0,0,1,0,1,1,85,555,0,40,40,0,0,0,555,45,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840
9000013509,3,17,0,1.0,1,0,3,2,20.0,0,0,9000013509_3,0,0,0,1,1,0,0,1,1,3,35,315,0,20,20,0,0,0,0,0,0,315,15,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110
9000013533,1,32,0,1.0,1,1,2,2,42.5,0,1,9000013533_1,0,1,0,0,1,0,0,1,1,2,35,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,15,35,0,0,0,0,0,0,1405
9000013541,1,38,1,1.0,1,1,1,1,250.0,1,1,9000013541_1,0,1,1,0,0,0,0,1,1,1,57,730,0,25,25,0,0,0,730,32,762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678
9000013565,1,37,0,1.0,1,1,1,0,137.5,1,1,9000013565_1,0,1,1,0,1,0,0,1,1,0,200,520,90,65,155,0,0,0,0,0,0,0,0,0,15,15,30,0,0,0,0,0,0,0,0,0,0,0,0,150,30,180,265,90,355,0,0,0,0,0,0,875
9000013572,1,32,0,0.0,1,1,3,1,175.0,0,1,9000013572_1,0,1,1,0,1,0,0,1,1,1,51,9,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,30,1410
