,HOUSEID_x,PERSONID_x,R_AGE,R_HISP,R_SEX,R_RACE,WKFMHM22,HHSIZE,HHVEHCNT,HHFAMINC,URBANSIZE,URBRUR,uni_Per_ID,YOUNGCHILD,Highschool,EDU_College,HM_OWN,NONHISWHITE,Race_Black,Race_Asian,Race_White,weekday,DRVRCNT,Total_TT,Total_AT,AT_ReguHMact,TT_ReguHMact,ReguHMact,AT_WorkFromHM,TT_WorkFromHM,WorkFromHM,AT_WorkNonHM,TT_WorkNonHM,WorkNonHM,AT_School,TT_School,School,AT_Shopping,TT_Shopping,Shopping,AT_Social1,TT_Social1,Social1,AT_Social2,TT_Social2,Social2,AT_Social3,TT_Social3,Social3,AT_Social4,TT_Social4,Social4,AT_Personal_self,TT_Personal_self,Personal_self,AT_Personal_meal,TT_Personal_meal,Personal_meal,AT_Family_business,TT_Family_business,Family_business,AT_Pick_Drop,TT_Pick_Drop,Pick_Drop,HW_TIME,ln_School,ln_Shopping,ln_Social1,ln_Social2,ln_Social3,ln_Social4,ln_Personal_self,ln_Personal_meal,ln_Family_business,ln_Pick_Drop,genZ,Millennials,genX,boomers2
3498,9000162823,1,35,0,0.0,1,1,3,6,112.5,0,0,9000162823_1,1,1,0,1,1,0,0,1,1,2,29,1,0,16,16,0,0,0,0,0,0,0,0,0,1,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1426,0.0,0.0042429665794028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
2334,9000105585,3,49,0,1.0,1,1,4,3,137.5,0,1,9000105585_3,0,1,1,1,1,0,0,1,1,3,40,190,0,20,20,0,0,0,190,20,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
3686,9000165501,1,59,0,0.0,1,0,3,3,112.5,0,1,9000165501_1,0,1,1,1,1,0,0,1,0,3,40,125,0,15,15,0,0,0,0,0,0,0,0,0,125,25,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,0.0,0.0477727817960006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
55,9000013847,1,39,0,0.0,3,0,2,1,112.5,0,1,9000013847_1,0,1,1,1,0,0,1,0,1,1,95,480,0,10,10,0,0,0,470,35,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,50,60,875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0288035578502045,0,1,0,0
115,9000014608,1,48,0,1.0,1,1,3,4,62.5,1,1,9000014608_1,0,1,0,1,1,0,0,1,1,3,60,120,0,30,30,0,0,0,120,30,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1828,9000088137,1,40,0,1.0,1,0,4,2,87.5,0,0,9000088137_1,1,1,1,1,1,0,0,1,1,2,80,550,0,30,30,0,0,0,540,10,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,20,5,25,30,840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010219165181686,0.0152399665567369,0,1,0,0
4384,9000175214,2,48,0,1.0,1,0,6,3,137.5,0,1,9000175214_2,0,1,0,1,1,0,0,1,0,3,60,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,1410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091433794398697,0,0,1,0
1540,9000075929,1,62,0,0.0,1,0,1,1,112.5,0,0,9000075929_1,0,1,1,1,1,0,0,1,0,1,270,0,0,270,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
3426,9000148956,2,44,0,1.0,1,0,3,2,250.0,1,1,9000148956_2,0,1,1,1,1,0,0,1,0,2,60,130,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,25,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1285,0.0,0.0,0.0,0.0494593644279363,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1810,9000087799,2,73,1,0.0,4,1,3,2,87.5,1,1,9000087799_2,0,1,1,1,0,0,0,0,1,3,40,60,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,15,75,0,0,0,0,0,0,1365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0232298407184748,0.0,0.0,0,0,0,0
