,HOUSEID_x,PERSONID_x,R_AGE,R_HISP,R_SEX,R_RACE,WKRMHM,HHSIZE,HHVEHCNT,HHFAMINC,URBANSIZE,URBRUR,uni_Per_ID,YOUNGCHILD,Highschool,EDU_College,HM_OWN,NONHISWHITE,Race_Black,Race_Asian,Race_White,weekday,DRVRCNT,Total_TT,Total_AT,AT_ReguHMact,TT_ReguHMact,ReguHMact,AT_WorkFromHM,TT_WorkFromHM,WorkFromHM,AT_WorkNonHM,TT_WorkNonHM,WorkNonHM,AT_School,TT_School,School,AT_Shopping,TT_Shopping,Shopping,AT_Social1,TT_Social1,Social1,AT_Social2,TT_Social2,Social2,AT_Social3,TT_Social3,Social3,AT_Social4,TT_Social4,Social4,AT_Personal_self,TT_Personal_self,Personal_self,AT_Personal_meal,TT_Personal_meal,Personal_meal,AT_Family_business,TT_Family_business,Family_business,AT_Pick_Drop,TT_Pick_Drop,Pick_Drop,HW_TIME,ln_School,ln_Shopping,ln_Social1,ln_Social2,ln_Social3,ln_Social4,ln_Personal_self,ln_Personal_meal,ln_Family_business,ln_Pick_Drop,genZ,Millennials,genX,boomers2
13376,30156652,2,52.0,0.0,1.0,1.0,0,4,3,42.5,0,1,30156652_2,0,1,0,1,1,0,0.0,1.0,1,4,20,545,0,10,10,0,0,0,545,10,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
48429,40020862,1,55.0,0.0,0.0,2.0,1,2,3,62.5,0,0,40020862_1,0,1,0,0,0,1,0.0,0.0,1,2,108,672,70,25,95,0,0,0,515,57,572,0,0,0,0,0,0,0,0,0,79,6,85,0,0,0,0,0,0,0,0,0,8,20,28,0,0,0,0,0,0,755,0.0,0.0,0.0,0.0463323344326933,0.0,0.0,0.0,0.0158148104287552,0.0,0.0,0,0,0,1
15203,30178124,2,47.0,1.0,0.0,1.0,1,5,2,250.0,1,1,30178124_2,0,1,1,1,0,0,0.0,1.0,0,2,138,397,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,68,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,975,0.0,0.0,0.0,0.0,0.1693578763967128,0.0,0.0,0.0,0.0,0.0,0,0,1,0
9756,30114371,2,16.0,0.0,1.0,1.0,0,2,4,62.5,1,1,30114371_2,0,0,0,1,1,0,0.0,1.0,1,2,65,665,135,30,165,0,0,0,445,10,455,0,0,0,70,15,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,25,0,0,0,875,0.0,0.0402631800172551,0.0,0.0,0.0,0.0,0.0,0.0,0.0122344564170115,0.0,1,0,0,0
45175,30531999,2,58.0,0.0,0.0,1.0,0,2,2,62.5,0,1,30531999_2,0,1,0,1,1,0,0.0,1.0,1,2,140,680,55,60,115,0,0,0,515,60,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,20,130,0,0,0,0,0,0,0,0,0,0,0,0,735,0.0,0.0,0.0,0.0,0.0,0.0707287683806193,0.0,0.0,0.0,0.0,0,0,0,1
43460,30510994,1,47.0,0.0,0.0,1.0,0,7,4,175.0,0,1,30510994_1,0,1,1,0,1,0,0.0,1.0,1,5,108,769,0,7,7,0,0,0,653,14,667,0,0,0,6,7,13,0,0,0,100,50,150,0,0,0,0,0,0,0,0,0,10,30,40,0,0,0,0,0,0,570,0.0,0.0097936990865227,0.0,0.101457640758777,0.0,0.0,0.0,0.0294549793382756,0.0,0.0,0,0,1,0
17552,30204418,1,45.0,0.0,0.0,1.0,0,3,4,250.0,0,1,30204418_1,0,1,1,1,1,0,0.0,1.0,1,3,125,600,0,80,80,0,0,0,600,45,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
35666,30418677,1,29.0,0.0,1.0,6.0,0,2,2,62.5,0,1,30418677_1,0,1,1,0,0,0,0.0,0.0,1,2,112,528,345,55,400,0,0,0,0,0,0,0,0,0,60,15,75,0,0,0,40,5,45,0,0,0,0,0,0,0,0,0,53,7,60,0,0,0,30,30,60,1200,0.0,0.0263289387223491,0.0,0.0159881053841303,0.0,0.0,0.0,0.021189299069938,0.0,0.021189299069938,0,1,0,0
63537,40312357,1,28.0,0.0,0.0,1.0,1,7,6,87.5,0,1,40312357_1,3,1,1,1,1,0,0.0,1.0,0,4,90,419,180,21,201,0,0,0,0,0,0,0,0,0,42,16,58,0,0,0,85,15,100,75,6,81,30,7,37,0,0,0,0,0,0,0,0,0,7,25,32,1132,0.0,0.0217005345402781,0.0,0.036764280976154,0.0300143740143203,0.0139680843095874,0.0,0.0,0.0,0.012106553461617,0,1,0,0
5992,30068572,2,69.0,0.0,0.0,1.0,0,2,3,20.0,0,0,30068572_2,0,1,0,1,1,0,0.0,1.0,1,2,0,530,50,0,50,0,0,0,480,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
34271,30401859,1,67.0,0.0,1.0,1.0,1,2,2,30.0,0,1,30401859_1,0,1,1,1,1,0,0.0,1.0,1,2,80,385,95,35,130,0,0,0,265,15,280,0,0,0,25,30,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1105,0.0,0.0210957112057889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
81242,40658272,1,32.0,1.0,1.0,6.0,0,4,2,137.5,0,1,40658272_1,1,1,1,0,0,0,0.0,0.0,0,2,130,376,0,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,15,390,0,0,0,0,0,0,0,0,0,0,0,0,1,48,49,1001,0.0,0.0,0.0,0.0,0.1428930525127277,0.0,0.0,0.0,0.0,0.0207552215906194,0,1,0,0
965,30010979,2,57.0,0.0,0.0,1.0,1,4,4,112.5,0,1,30010979_2,0,1,1,1,1,0,0.0,1.0,1,3,95,665,0,15,15,145,10,155,405,30,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,25,100,30,130,0,0,0,850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125891273080204,0.061807149978202,0.0,0,0,0,1
10924,30128673,1,53.0,0.0,1.0,1.0,0,2,2,137.5,0,1,30128673_1,0,1,1,1,1,0,0.0,1.0,0,2,75,585,195,10,205,0,0,0,0,0,0,0,0,0,210,30,240,0,0,0,75,10,85,0,0,0,0,0,0,0,0,0,105,25,130,0,0,0,0,0,0,985,0.0,0.0946998582029395,0.0,0.0359475471875978,0.0,0.0,0.0,0.0538386368865677,0.0,0.0,0,0,0,1
65731,40353875,2,22.0,0.0,1.0,1.0,0,3,1,20.0,0,0,40353875_2,1,1,0,0,1,0,0.0,1.0,1,1,35,500,0,15,15,0,0,0,500,20,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
73934,40514400,3,20.0,0.0,1.0,6.0,0,4,2,112.5,1,1,40514400_3,0,1,0,1,0,0,0.0,0.0,1,3,60,285,0,5,5,0,0,0,235,15,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,40,40,10,50,0,0,0,1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0155121661782475,0.0193051551953866,0.0,1,0,0,0
48547,40023004,1,56.0,0.0,0.0,1.0,0,2,2,62.5,0,1,40023004_1,0,1,1,1,1,0,0.0,1.0,1,2,12,545,27,6,33,0,0,0,518,6,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
63023,40302991,1,51.0,0.0,0.0,1.0,0,4,2,62.5,0,1,40302991_1,0,1,1,1,1,0,0.0,1.0,1,2,20,570,0,10,10,0,0,0,570,10,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
39750,30467201,2,29.0,0.0,0.0,1.0,1,4,2,62.5,0,0,30467201_2,1,1,0,0,1,0,0.0,1.0,0,2,30,60,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,15,75,0,0,0,0,0,0,1365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0232298407184748,0.0,0.0,0,1,0,0
87988,40787090,1,66.0,0.0,1.0,1.0,0,1,2,112.5,0,1,40787090_1,0,1,0,0,1,0,0.0,1.0,0,1,49,285,138,15,153,0,0,0,0,0,0,0,0,0,137,24,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,20,0,0,0,1259,0.0,0.0522626142751938,0.0,0.0,0.0,0.0,0.0,0.0,0.0068448143707913,0.0,0,0,0,0
36998,30435189,1,54.0,0.0,0.0,3.0,0,4,2,175.0,1,1,30435189_1,0,1,1,1,0,0,1.0,0.0,1,2,41,510,0,21,21,0,0,0,510,20,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
75280,40540843,2,39.0,0.0,1.0,1.0,1,2,3,250.0,1,1,40540843_2,0,1,1,0,1,0,0.0,1.0,1,2,288,347,0,9,9,0,0,0,260,140,400,0,0,0,0,0,0,0,0,0,85,5,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,134,136,814,0.0,0.0,0.0,0.0455440255861621,0.0,0.0,0.0,0.0,0.0,0.0670992003996465,0,0,1,0
29772,30349908,1,47.0,1.0,1.0,1.0,0,4,3,137.5,1,1,30349908_1,0,1,1,1,0,0,0.0,1.0,1,3,90,470,0,15,15,0,0,0,450,45,495,0,0,0,20,30,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895,0.0,0.0236087731933509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
37640,30442871,4,20.0,0.0,0.0,2.0,0,6,4,137.5,0,0,30442871_4,0,1,0,1,0,1,0.0,0.0,1,4,100,690,0,10,10,0,0,0,420,60,480,270,30,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,0.1627272974976997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
32004,30375477,1,58.0,0.0,0.0,6.0,1,2,4,112.5,0,1,30375477_1,0,1,1,1,0,0,0.0,0.0,1,2,179,751,115,57,172,0,0,0,540,42,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,5,95,6,75,81,682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0566366441444353,0.0487401632984015,0,0,0,1
69217,40420134,3,21.0,1.0,0.0,97.0,0,5,9,42.5,0,1,40420134_3,0,1,0,1,0,0,0.0,0.0,1,5,172,807,47,85,132,0,0,0,580,14,594,180,73,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593,0.1543156696747609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
